"";"B";"n";"freq"
"1";5;74;0,0738
"2";51;NA;0,0738
"3";52;NA;0,0738
"4";7;123;0,1227
"5";8;103;0,1025
"6";12;122;0,1217
"7";44;NA;0,1217
"8";45;NA;0,1217
"9";13;32;0,0322
"10";14;24;0,0236
"11";64;NA;0,0236
"12";65;NA;0,0236
"13";15;76;0,0758
"14";62;NA;0,0758
"15";63;NA;0,0758
"16";75;NA;0,0758
"17";76;NA;0,0758
"18";77;NA;0,0758
"19";70;2;0,0023
"20";16;45;0,0454
"21";38;NA;0,0454
"22";39;NA;0,0454
"23";17;45;0,0453
"24";57;NA;0,0453
"25";58;NA;0,0453
"26";18;54;0,054
"27";21;23;0,0232
"28";49;NA;0,0232
"29";50;NA;0,0232
"30";22;25;0,0252
"31";54;NA;0,0252
"32";55;NA;0,0252
"33";56;NA;0,0252
"34";27;48;0,0483
"35";35;103;0,1027
"36";37;14;0,014
"37";40;68;0,0684
"38";60;NA;0,0684
"39";61;NA;0,0684
"40";41;11;0,0111
"41";42;0;4e-04
"42";46;0;2e-04
"43";47;3;0,0034
"44";48;1;8e-04
"45";53;3;0,0027
"46";59;0;1e-04
"47";67;0;2e-04
"48";73;0;2e-04
"49";703;0;1e-04
"50";70;NA;1e-04
"51";71;NA;1e-04
"52";72;NA;1e-04
"53";78;0;2e-04
"54";81;0;1e-04
"55";2708;0;1e-04
"56";82;0;1e-04
"57";83;0;1e-04
